period,salt_bcf,us_bcf,henryhub
2020-04-01,265.0,2024.0,1.77
2020-05-01,331.0,2319.0,1.84
2020-06-01,357.0,2807.0,1.7
2020-07-01,364.0,3133.0,1.78
2020-08-01,337.0,3332.0,2.17
2020-09-01,335.0,3525.0,2.16
2020-10-01,366.0,3831.0,1.91
2021-04-01,235.0,1784.0,2.45
2021-05-01,269.0,2029.0,2.93
2021-06-01,302.0,2411.0,3.12
2021-07-01,286.0,2574.0,3.65
2021-08-01,247.0,2776.0,4.1
2021-09-01,208.0,2923.0,4.87
2021-10-01,259.0,3288.0,5.87
2022-04-01,173.0,1382.0,6.08
2022-05-01,241.0,1643.0,7.47
2022-06-01,251.0,2003.0,8.95
2022-07-01,233.0,2311.0,5.9
2022-08-01,193.0,2501.0,8.15
2022-09-01,182.0,2694.0,8.3
2022-10-01,253.0,3231.0,6.29
2023-04-01,261.0,1855.0,2.09
2023-05-01,287.0,2141.0,2.1
2023-06-01,319.0,2550.0,1.99
2023-07-01,323.0,2930.0,2.53
2023-08-01,284.0,3030.0,2.76
2023-09-01,241.0,3148.0,2.52
2023-10-01,267.0,3529.0,3.2
2024-04-01,299.0,2283.0,1.69
2024-05-01,314.0,2569.0,2.0
2024-06-01,336.0,2974.0,2.73
2024-07-01,327.0,3199.0,2.26
2024-08-01,300.0,3270.0,1.88
2024-09-01,266.0,3387.0,2.13
2024-10-01,274.0,3630.0,2.4
